Tarif_Adi,Lemmatized_Metin
Tavuklu Şehzade Kebabı,kuşbaşı doğranmış tavuk kalça eti soğan yeşil biber sarımsak domates salçası ılık su zeytinyağı patlıcan tuz karabiber kırmızı pul biber domates biber orta boy geniş bir tencere içine yemek kaşığı zeytinyağı döküp iyice ısıtın yağın üzerine gr kuşbaşı doğranmış tavuk kalça etini ekleyin tavuk etleri suyunu salıp hafifçe çekene kadar ara ara karıştırarak pişirin pişen tavuk etlerinin üzerine adet orta boy ince ince doğranmış soğan diş ince ince doğranmış sarımsak ve adet küçük küçük doğranmış yeşil biber koyun dakika kadar ara ara karıştırarak pişirmeye devam edin daha sonra yemek kaşığı domates salçası ekleyin salçayı da dakika kadar tavuk etleri ile birlikte güzelce kavurun ardından damak tadınıza göre tuz karabiber ve kırmızı pul biber koyup karıştırın son olarak hazırladığınız tavuklu harcın üzerine su bardağı ılık su döküp taşım kaynatın ardından tavuklu harcı ocaktan alıp küçük yuvarlak borcam fırın kabının içine döküp güzelce yayın diğer tarafta adet orta boy patlıcanın kabuğunu alacalı olarak soyun patlıcanları çok küçük olmayacak şekilde küp küp doğrayın doğradığınız patlıcanları kızgın yağ içine koyup güzelce kızartın ardından kızaran patlıcanları kağıt havlu serili bir tabak üzerine alıp yağlarının süzülmesini sağlayın daha sonra patlıcanları borcama koyduğunuz tavuklu harcın üzerine ekleyin kepçe yardımı ile hafifçe karıştırın tekerardan fırın kabının içine yarım su bardağı kadar ılık su döküp hafifçe karıştırın son olarak tavuklu şehzade kebabının üzerine orta kalınlıkta dilimlediğiniz domates ve biber dilimlerini güzelce dizin önceden ısıtılmış derece fırına verin yaklaşık dakika kadar pişirin
Fırında Patates Yemeği,patates soğan sivri biber domates sarımsak zeytinyağı su karabiber kırmızı pul biber kekik kimyon köri tuz patatesleri soyup elma dilimi şeklinde dilimleyin soğan ve biberleri dilimleyin domatesleri dörde bölün patatesleri bir kaba koyun ve baharatlarla harmanlayın soğan biber ve domatesleri patateslerin üzerine yerleştirin zeytinyağı ve su ekleyin fırında dakika pişirin
Ballı Susamlı Tavuk,tavuk göğüs eti yumurta mısır nişastası sıvı yağ susam ketçap soya sosu limon suyu toz şeker bal sarımsak tuz karabiber yemek kaşığı susamı bir tava içine koyup hafifçe kahverengi olana kadar yakmadan kavurun kavrulan susamı ocaktan alıp başka bir kaba aktarıp soğumaya bırakın yarım kilo tavuk göğüs etini çok büyük ve çok küçük olmayacak şekilde küpler halinde kesin adet yumurta kırın ve üzerine yemek kaşığı mısır nişastası ekleyip pürüzsüz bir kıvam alana kadar iyice çırpın doğradığınız tavuk etlerini yumurtalı karışımın içine koyup iyice karıştırın sos için bir kase içine yemek kaşığı soya sosu yemek kaşığı ketçap yemek kaşığı limon suyu yemek kaşığı bal tatlı kaşığı toz şeker diş rendelenmiş sarımsak damak tadınıza göre tuz ve karabiber ekleyin soya sosu tuzlu olduğu için tuz miktarını dikkatli bir şekilde ayarlayın sosun içine kavrulmuş susamı koyun ve tüm sos malzemelerini iyice karıştırıp kenara alın yumurtalı nişastalı karışımın içinde olan tavuk etlerini tek tek alıp kızgın yağ içine koyun tavuk etlerini kızgın yağ içinde arkalı önlü kızartın son olarak orta boy geniş bir tencere içine ballı susamlı sosu döküp biraz ısıtın sosun üzerine kızarttığınız tavuk etlerini ekleyin ve tavuk etlerinin sosa iyice karışmasını sağlayın ardından tencerenin kapağını kapatın ve ballı susamlı tavuk etlerinin içleri tamamen pişinceye kadar kısık ateş üzerinde dakika pişirin
Cacıklı Arap Köftesi,köftelik ince bulgur kıyma sıcak su soğan un karabiber tuz tereyağı kırmızı toz biber kırmızı pul biber ıspanak zeytinyağı süzmeye yoğurt sarımsak bulgur ve sıcak su karıştırılır kıyma soğan un karabiber tuz eklenip yoğrulur köfte harcı yoğrulur ve şekillendirilir ispanak kavurulur ve soğumaya bırakılır köfteler haşlanır ve süzülür köftelerin sosu hazırlanır ve köftelerle karıştırılır cacık hazırlanır ve köfteler yerleştirilir tereyağı eritilir ve köftelerin üzerine gezdirilir
Çıtır Tavuk Kanatları,tavuk kanadı kırmızı pul biber kırmızı toz biber köri sarımsak tozu tuz süt un nişasta galeta unu tavuk kanatlarını yıkayıp suyunu süzün üzerlerine çatal yardımı ile birkaç yerinden delik açın tavuk kanatlarını haşlayın haşladığınız tavuk kanatlarının suyunu süzün soğuyan tavuk kanatlarını sosu ile birlikte güzelce karıştırın galeta unlu karışıma bulayın kızgın yağ içine koyun ve kızarana kadar pişirin
Dalyan Köfte,kıyma yumurta galeta unu soğan maydanoz tuz kimyon karabiber garnitür yumurta yumurta akı domates salçası su derin bir kabın içerisine gr kıyma koyun üzerine yemek kaşığı galeta unu koyup adet yumurta kırın rendelenmiş adet soğan ve ince ince doğranmış tutam maydanoz ekleyin son olarak tuz karabiber ve kimyon ilave edin dakika boyunca sürekli yoğurun ardından dk kadar buzdolabında dinlendirin dinlendikten sonra buzdolabından çıkartıp dakika daha güzelce yoğurun mutfak tezgahı üzerine bir adet alüminyum folyoyu serin alüminyum folyonun köfte harcına direk temas etmemesini istiyorsanız üzerine bir adet yağlı kağıt serebilirsiniz hazırladığınız köfte harcını folyonun üzerine koyup elinizle bastırarak yaydırın köfte harcının orta kısmına haşladığınız adet yumurtayı ardı sıra dizin yumurtaların aralarına ve yanlarına çay bardağı hazır garnitürü yerleştirin alüminyum folyonun bir kenarını dikkatlice tutup şekli bozulmadan rulo yapmak için kaldırın elinizle hafifçe bastırarak orta bölüme doğru getirin rulo şeklinin düzgün olması için alüminyum folyonun diğer tarafını da kaldırın orta bölümde iki ucu bir araya getirip elinizle köfte harcının birbirine yapışmasını sağlayın köfte harcının birbirine iyice yapıştığından emin olduktan sonra alüminyum folyoyu açın ve dalyan köfteyi folyodan çıkartın orta büyüklükte bir borcamın tabanını sıvı yağ ile hafifçe yağlayın üzerine rulo şeklindeki dalyan köfte harcını koyun adet yumurta akını çatalla çırptıktan sonra fırça yardımı ile dalyan köfte harcının üzerine sürün sürdüğünüz yumurta akı dalyan köfte fırında pişerken dağılıp açılmamasını sağlayacaktır dalyan köfte sosu için küçük bir karıştırma kabına yemek kaşığı domates salçasını koyun üzerine su bardağı su ilave edip kaşık yardımıyla karıştırın hazırladığınız domates sosunu dalyan köfte üzerine kaşık yardımıyla gezdirerek dökün tüm sosu döktükten sonra danyan köftenin yanına adet sivri biber yerleştirin önceden ısıtılmış derece fırında yaklaşık dk kadar pişirin pişen dalyan köfteyi fırından çıkartın parmak kalınlığında dilimler halinde kesin hazırladığınız dalyan köfteyi rosto köfte sıcak olarak misafirlerinize servis edebilirsiniz
Elbasan Tava,kuşbaşı doğranmış et soğan yeşil biber tere yağı sarımsak kekik karabiber tuz yumurta sarısı un süzme yoğurt et suyu tencereye tereyağı koyup eritmek etleri kavurmak soğan ve yeşil biber ekleyip kavurmak kekik ve sarımsak ekleyip kavurmak sıcak su ekleyip etler yumuşayana kadar pişirmek tuz ve karabiber eklemek etten su bardağı et suyu alıp soğumaya bırakmak sos için yumurta sarısı un tuz süzme yoğurt ve et suyunu karıştırın pişen eti fırın kabına koyup sosu üzerine dökmek fırında dakika pişirmek
Fırında Beşamel Soslu Kıymalı Karnabahar,küçük boy karnabahar kıyma soğan büyük boy havuç zeytinyağı tuz karabiber beşamel sos i çin tereyağı un süt üzeri i çin rendelenmiş kaşar peynir adet küçük boy karnabaharı çiçeklerine ayırıp yıkayın derin bir tencereye alıp üzerine su ekleyin yumuşayana kadar haşlayın adet büyük boy havucun kabuğunu soyun halkalar halinde kesip haşlayın karnabahar ve havuç haşlandıktan sonra suyunu süzüp soğumaya bırakın geniş bir tava içine yemek kaşığı zeytinyağı koyun üzerine adet ince ince doğranmış soğan ekleyip dakika kadar kavurun ardından tavaya gr kıyma koyun kıymayı sürekli karıştırarak pişirin kıyma piştikten sonra damak tadınıza göre tuz karabiber ve haşlanmış havuçları ekleyip karıştırın haşlanan karnabaharları fırın kabının tabanına yerleştirin üzerine hazırladığınız kıymalı havuçlu harcı yayın beşamel sos için küçük bir tencereye yemek kaşığı tereyağı koyup eritin üzerine yemek kaşığı un ekleyip dakika kadar kavurun daha sonra buçuk su bardağı sütü azar azar döküp unun topaklanmaması için sürekli karıştırın beşamel sos koyulaşıncaya kadar kısık ateşte dakika kadar kaynatın son olarak tuz ve karabiberini de ekleyip ocaktan alın sosu karnabaharlı karışımın üzerine dökün son olarak beşamel soslu kıymalı karnabaharın üzerine bolca rendelenmiş kaşar peynir serpiştirin ardından kırmızı toz biber serpiştirin önceden ısıtılmış derece fırına verin yaklaşık dakika kadar pişirin
Fırında Et Yemeği,kırmızı et soğan patates kırmızı kapya biber çarliston biber domates salçası yoğurt zeytinyağı kekik kırmızı pul biber karabiber tuz orta boy bir kaba yemek kaşığı domates salçası koyun üzerine yarım yemek kaşığı yoğurt yarım çay bardağı zeytinyağı damak tadınıza göre tuz kekik kırmızı pul biber ve karabiber ekleyin tüm malzemeleri güzelce karıştırın salçalı sos karışımının üzerine adet orta boy ay şeklinde ince ince doğranmış soğan koyun elinizle soğanları salçalı sos ile güzelce karıştırın gr kırmızı etin üzerine biraz tuz ve biraz zeytinyağı ekleyip eliniz ile güzelce harmanlayın geniş bir fırın kabının tabanına hazırladığınız salçalı soslu soğan karışımını güzelce yayın bu karışımın üzerine etleri güzelce yerleştirin adet orta boy patatesi elma dilimi şeklinde doğrayıp koyun kapta bulunan sos ile güzelce harmanlayın adet orta boy kapya biber ve adet çarliston biberi iri olacak şekilde doğrayın biberleri ve patatesleri fırın tepsisinde boş olan kısımlara yerleştirin son olarak tepsinin tabanına yarım çay bardağından biraz fazla su dökün hazırladığınız et yemeğinin üzerini hafifçe ıslattığınız yağlı kağıt ile kapatın önceden ısıtılmış derece fırına verin etler ve sebzeler yumuşayana kadar yaklaşık saat kontrollü bir şekilde pişirin
Fırında Karnabahar Yemeği,karnabahar kıyma soğan yumurta galeta unu maydanoz tuz karabiber kimyon kekik domates sarımsak tere yağı un süt kaşar peynir karnabaharı çiçeklerine ayırıp derin bir tencere içine koyun üzerlerini geçecek kadar su döküp biraz tuz serpiştirin hafifçe yumuşayana kadar haşlayın köfte harcı için bir kap içine gr kıyma koyun üzerine adet yumurta kırın adet orta boy rendelenmiş soğan yemek kaşığı galeta unu damak tadınıza göre tuz karabiber kekik ve kimyon ekleyip iyice yoğurun köfteleri kızgın yağ içinde kızartıp bir tabak üzerine alın domates sosu için adet büyük boy domatesi rendeleyin orta boy bir tava içine rendelenmiş domatesi diş rendelenmiş sarımsak ve yemek kaşığı tereyağı koyun sosu ara ara karıştırarak dakika pişirin haşladığınız karnabaharları orta boy geniş bir fırın kabı içine yerleştirin üzerine domates soslu köfteleri ekleyin beşamel sosu hazırlayın küçük derin bir tencere içine yemek kaşığı tereyağı koyup eritin eriyen yağın içine yemek kaşığı dolusu un ekleyip unun kokusu çıkana kadar yaklaşık dakika kavurun fırın kabındaki yemeğin üzerine beşamel sosu gezdirerek dökün üzerine bolca rendelenmiş kaşar peynir serpiştirin önceden ısıtılmış derece fırına verin
Fırında Pırasa,pırasa yumurta mısır unu süt sıvıyağ kabartma tozu tuz sap pırasayı temizleyip yıkayın yuvarlak şekilde ince ince doğrayın doğradığınız pırasaları hafif tuzlu suda yumuşayana kadar haşlayın haşladığınız pırasaların suyunu süzüp soğumaya bırakın adet yumurta kırıp iyice çırpın çırptığınız yumurtaların üzerine çay bardağı süt ve çay bardağı sıvıyağ dökün çay bardağı mısır unu paket kabartma tozu ve tatlı kaşığı kadar tuz ekleyin tüm malzemeleri tekrar iyice çırpın hazırladığınız karışımın içine soğuyan pırasaları koyun kaşık yardımı ile güzelce karıştırın küçük yuvarlak borcamın içini yağlayıp biraz mısır unu serpiştirin pırasalı karışımı borcamın içine döküp yayın önceden ısıtılmış derece fırına verin üzeri kızarana kadar yaklaşık dakika pişirin fırında pırasa piştikten sonra dakika kadar ılımaya bırakın daha sonra dilimleyerek servis edebilirsiniz
Fırında Tavuk Baget,tavuk baget patates havuç soğan su domates salçası zeytinyağı yoğurt sarımsak karabiber köri kimyon kekik acı kırmızı toz biber tuz tavuk bagetlerini yıkayıp temizleyin tavuk bagetlerin üstüne bıçak yardımı ile çizikler atın geniş bir kap içine domates salçası zeytinyağı yoğurt sarımsak karabiber köri kimyon kekik acı kırmızı toz biber ve tuz ekleyip karıştırın soğanı ay şeklinde ince ince doğrayın ve sosla karıştırın tavuk bagetlerini sosun içine koyun ve eliniz ile harmanlayın tavuk bagetlerini dakika marine edin fırın kabına tavuk bagetlerini dizin patates ve havuçları dilimleyin ve sosla harmanlayın fırın kabına patates ve havuçları yerleştirin yağlı kağıdı musluk altında ıslatıp suyunu sıkın ve fırın kabının üzerini kapatın fırın kabını önceden ısıtılmış derece fırına verin ve dakika pişirin fırından çıkartıp üzerindeki yağlı kağıdı alın ve tekrar fırına verip dakika daha pişirin
