Tarif_Adi,Kategori,Malzemeler,Yapilis_Adimlari
Çoban Böreği,ana yemek,patates süt rendelenmiş kaşar peynir kıyma soğan havuç bezelye zeytinyağı un su sarımsak domates salçası tuz karabiber kırmızı toz biber,"3 adet orta boy havucun kabuğunu soyup, minik küpler halinde doğrayın. Havuçları küçük bir tencere içinde dağılmayacak şekilde yumuşayana kadar haşlayın. 6 adet orta boy patatesin kabuğunu soyup, küçük küçük dilimleyin. Patatesleri derin bir tencere içinde yumuşayana kadar haşlayın. Geniş bir tencere içine 1 adet büyük boy ince ince doğranmış soğan ekleyin. Soğanın üzerine yarım küçük çay bardağı zeytinyağı döküp, 2 dakika kavurun. Kıymayı sürekli karıştırarak, kavurun. Kavrulan kıymanın üzerine 1 yemek kaşığı un ve 1 küçük çay bardağı ılık su koyup, 2 dakika kadar kavurun. Kıymanın üzerine 1 diş ince ince doğranmış sarımsak, 1 yemek kaşığı domates salçası, damak tadınıza göre tuz, karabiber ve kırmızı toz biber koyup, 2 dakika kadar daha kavurun. Son olarak kıymalı harcın üzerine başta haşladığınız havucu ve 1 buçuk su bardağı haşlanmış bezelyeyi koyun. Harcı ara ara karıştırarak, yaklaşık 10 dakika kadar pişirin. Patates püresi için; derin bir kaba haşladığınız sıcak patatesi koyun. Üzerine 1 buçuk su bardağına yakın rendelenmiş kaşar peynir, damak tadınıza göre tuz, karabiber ve yarım küçük çay bardağı süt ekleyin. Patatesleri püre ezicisi ile pürüzsüz bir kıvam alana kadar iyice ezin. Hazırladığınız patates püresini kıymalı harcın üzerine eşit bir şekilde yayın. Pürenin üzerine çatal yardımı ile çizikler atın. Çoban böreğini önceden ısıtılmış 180 derece fırına verin. Üzeri kızarana kadar yaklaşık 25 dakika kadar pişirin."
Fırında Peynirli Ispanak,ana yemek,ıspanak yarım yağlı beyaz peynir yumurta kabartma tozu un zeytinyağı rendelenmiş kaşar peynir domates dilimleri,"Yarım kilo ıspanağı ayıklayın. Bol su içinde iyice yıkayıp, suyunu süzün. Yıkadığınız ıspanakları süzgeç içine alın. Üzerlerine diriliğini kaybetmesi için 1 çaydanlık dolusu kaynar su dökün. Ispanakların suyunu eliniz ile sıkıp, derin bir kap içine koyun. Üzerine 2 adet yumurta kırın. 150 gr kadar yarım yağlı beyaz peyniri eliniz ile ufalayarak ekleyin. Yarım çay bardağı zeytinyağı, 1 paket kabartma tozu, 2 buçuk yemek kaşığı un ve peynirin tuzuna göre tuz koyun. Tüm malzemeleri kaşık yardımı ile iyice karıştırın. Diğer tarafta orta boy bir fırın kabının tabanını sıvı yağ ile yağlayın. Ispanaklı karışımı kabın içine koyup, yayın. Üzerine bolca rendelenmiş kaşar peynir serpiştirin. Domates dilimleri ile süsleyin. Önceden ısıtılmış 180 derece fırına verin. Üzeri iyice kızarana kadar pişirin. Fırında peynirli ıspanak piştikten sonra 2-3 dakika kadar dinlenmeye bırakın. Ardından dilimleyerek, servis edebilirsiniz."
Fırında Yoğurtlu Patates Kızartması,ana yemek,patates yoğurt zeytinyağı tuz kırmızı pul biber kekik,"Yoğurtlu patates kızartması için; derin bir kap içine 2 yemek kaşığı yoğurt, 2 yemek kaşığı zeytinyağı, 1 tatlı kaşığı tuz, 1 çay kaşığı kırmızı pul biber ve 1 tatlı kaşığı kekik koyun. Kaşık yardımı ile iyice karıştırın. Ardından yoğurtlu sosun içine elma dilimi şeklinde kestiğiniz patatesleri koyun. Eliniz ile iyice harmanlayın. Yoğurt soslu patatesleri yağlı kağıt serili fırın tepsisi içine dizin. Önceden ısıtılmış 190 derece fırına verin. Üzerleri kızarana kadar yaklaşık 25 dakika pişirin. Hazırladığınız fırında yoğurtlu patates kızartmasını sıcak olarak servis edebilirsiniz."
Ratatuy,ana yemek,patlıcan kabak patates domates zeytinyağı tuz kekik domates sosu soğan sarımsak sivri biber domates salçası kaşar peynir,Domates sosunu hazırlayın. Sebzeleri dilimleyin. Sebzeleri harmanlayın. Domates sosunu fırın kabına dökün. Sebzeleri dizin. Fırında pişirin. Peynir serpiştirin. Tekrar fırında pişirin.
Yoğurtlu Ekmek Dilimleri,kahvaltı,ekmek yoğurt yumurta kaşar peyniri çeri domates yeşil biber,"Küçük bir kaba 1 adet yumurta kırın. Üzerine 2 yemek kaşığı yoğurt ve az miktar tuz ekleyin. Tüm malzemeyi tel çırpıcı yardımıyla iyice çırpın. 6 adet ekmek dilimini fırın kabı içine dizin. Ekmeklerin üzerine yoğurtlu karışımı fırça yardımı ile bolca sürün. Her bir ekmek dilimin üzerine 1-2 adet kaşar peyniri dilimi yerleştirin. 3 adet domatesi halkalar halinde kesin. Ekmeklerin ortasına yerleştirin. 2 adet biberi de 3-4 parçaya bölüp, domateslerin yanlarına koyun. Hazırladığınız yoğurtlu ekmek dilimlerini önceden ısıtılmış 190 derece fırına verin. Üzerleri kızarana kadar, yaklaşık 10-15 dakika pişirin."
Besni Tava,ana yemek,kuşbaşı kuzu eti patlıcan kırmızı kapya biber yeşil biber domates sarımsak kuyruk yağı tuz kırmızı pul biber karabiber,"Patlıcanları alacalı soyun ve orta büyüklükte doğrayın. Biberleri ve sarımsağı doğrayın. Domatesleri küçük küpler halinde doğrayın. Patlıcanları fırın kabına koyun ve üzerine biberleri, sarımsağı ve domatesleri ekleyin. Tuz, karabiber ve kırmızı pul biber serpiştirin. Kuzu etini yerleştirin ve üzerine kuyruk yağı serpiştirin. Üzerini yağlı kağıt ile kapatın ve fırına verin. 1 saat kadar pişirin ve üzerindeki yağlı kağıdı alın. 1-2 kere karıştırın ve tekrar fırına verin. Hafifçe üzeri kızarana kadar pişirin."
Fırında Sebze Sote,ana yemek,karnabahar brokoli patates havuç sarımsak zeytinyağı tuz kırmızı toz biber kırmızı pul biber kekik karabiber,"Yarım kilo karnabahar ve yarım kilo brokoliyi çok büyük olmayacak şekilde dallarına ayırıp, güzelce yıkayın. 2 adet orta boy patates ve 2 adet orta boy havucun kabuğunu soyup, çok ince olmayacak şekilde orta büyüklükte doğrayın. 1 baş sarımsağında kabuklarını soyun. Büyük derin bir kap içine yarım çay bardağından biraz fazla zeytinyağı dökün. Yağın üzerine damak tadınıza göre tuz, kekik, kırmızı toz biber, kırmızı pul biber ve karabiber ekleyip, çırpıcı ile iyice karıştırın. Hazırladığınız sosun içine sarımsakları koyun. Dallarına ayırdığınız brokoli ve karnabaharları ekleyin. Daha sonra doğranmış patates ve havuçları koyun. Tüm sebzeleri sosu ile birlikte iyice harmanlayın. Büyük fırın tepsisi içine yağlı kağıt serin. Hazırladığınız soslu sebzeleri tepsi içine koyup, çok üst üste gelmeyecek şekilde yayın. Son olarak 1 adet yağlı kağıdı musluk altında iyice ıslatıp, suyunu sıkın. Yağlı kağıdı eliniz ile güzelce açıp, sebzelerin üzerini kapatın. Önceden ısıtılmış 190 derece fırına verin. Bu şekilde yaklaşık 30 dakika kadar pişirin. Süre sonunda yağlı kağıdı alıp, üstü açık bir şekilde sebzelerin üzeri hafifçe kızarana kadar 10 dakika daha pişirin."
Karnıyarık,ana yemek,kıyma patlıcan domates salçası zeytinyağı soğan yeşil biber domates sarımsak tuz karabiber sıvı yağ,"Patlıcanları alacalı soyun, yıkayın ve kağıt havlu ile kurulayın. Patlıcanları 2-3'erli gruplar halinde kızartın. Kızaran patlıcanları kağıt havlu üzerine alın. Soğanı, sarımsağı ve biberi doğrayıp kavurun. Kıymayı ekleyip 5 dakika karıştırarak pişirin. Domatesi ekleyip 5 dakika karıştırarak pişirin. Domates salçası, tuz ve karabiberi ekleyip 2 dakika pişirin. Patlıcanları hazırladığınız kıymalı harç ile doldurun. Domates salçası, zeytinyağı ve su ile sos hazırlayın. Karnıyarıkları fırın kabına dizip sosu üzerlerine dökün. Önceden ısıtılmış 180 derece fırında 25 dakika pişirin."
Patates Röşti,ana yemek,patates tereyağı tuz karabiber,"Patatesleri soyup, yıkayın. Rendenin kalın kısmı ile rendeleyin. Rendelediğiniz patateslerin suyunu sıkıp, bir kap içine alın. Rendelenmiş patateslerin üzerine 1 yemek kaşığı oda sıcaklığındaki tereyağı koyun. Patateslere elinizle yedirerek karıştırın. Daha sonra karışıma 1 tutam tuz ve 1 tutam karabiber ekleyin. Kaşık yardımı ile iyice karıştırın. Ardından patates rendesinden bir kaşık alın. Yağlı kağıt serili fırın tepsisi içine koyun. Kaşığın tersi ile üzerine hafifçe bastırın. Önceden ısıtılmış 180 derece fırına verin. Üzerleri kızarana kadar yaklaşık 25 dakika pişirin."
Brokolili Fırın Makarna,ana yemek,makarna brokoli tere yağı un süt tuz karabiber rendelenmiş kaşar peynir,"Orta boy bir tencereye yarısına gelecek şekilde su koyup, kaynamaya bırakın. Kaynayan suyun içine biraz tuz ve yarım paket makarna koyun. Yumuşayana kadar ara ara karıştırarak, haşlayın. Diğer tarafta da yarım kilo brokoliyi küçük küçük dallarına ayırıp, güzelce yıkayın. Kaynar su içinde 5 dakika haşlayın. Ardından haşladığınız makarna ve brokolilerin suyunu iyice süzün. Daha sonra yağlanmış orta boy geniş bir fırın kabının içine haşladığınız makarnayı koyun. Makarnanın üzerine de haşladığınız brokolileri ekleyin. Makarna ve brokolileri güzelce harmanlayın. Beşamel sos için; orta büyüklükte bir sos tenceresi içine 2 yemek kaşığı tereyağı koyup, eritin. Yağın üzerine 2 buçuk yemek kaşığı dolusu un ekleyin. Unun kokusu çıkana kadar sürekli karıştırarak, kavurun. Ardından kavurduğunuz unun üzerine 2 buçuk su bardağı soğuk sütü azar azar döküp, topaklanma olmaması için bir yandan da hızlı bir şekilde karıştırın. Beşamel sos kaynayıp, koyu bir kıvam alana kadar pişirmeye devam edin. Son olarak damak tadınıza göre tuz ve karabiber koyup, karıştırın. Ardından beşamel sosu ocaktan alın. Beşamel sosunuz çok koyu olursa üzerine azar azar süt ekleyip, kıvamını açabilirsiniz. Daha sonra hazırladığınız beşamel sosu brokolili makarnanın üzerine güzelce dökün. Kaşık yardımı ile hafifçe karıştırın. Son olarak beşamel soslu brokolili makarnanın üzerine rendelenmiş kaşar peynir serpiştirin. Önceden ısıtılmış 190 derece fırına verin. Üzeri hafifçe kızarana kadar pişirin. Fırında beşamel soslu brokolili makarna piştikten sonra 5 dakika kadar dinlenmeye bırakın. Ardından sıcak olarak servis edebilirsiniz."
Fırında Baharatlı Karnabahar Kızartması,ana yemek,karnabahar yumurta süt zeytinyağı un tuz kırmızı toz biber karabiber zerdeçal kimyon,"Karnabaharı küçük küçük dallarına ayırıp, yıkayın. 7-8 dakika kadar haşlayın. Sosy için yumurta, süt, zeytinyağı, tuz, kırmızı toz biber, karabiber, zerdeçal ve kimyonu karıştırın. Unu azar azar ekleyerek pürüzsüz bir kıvam elde edin. Karnabaharları sosa bulayın. Fırın tepsisine dizin. 200 derece fırında 25 dakika pişirin. Sadece üst ayarı açık şekilde 10 dakika daha pişirin."
Fırında Beşamel Soslu Patates,ana yemek,patates süt un tereyağı tuz karabiber rendelenmiş kaşar peynir kırmızı toz biber,"Patatesleri soyup, yıkayın. Ardından küpler halinde doğrayın. Doğranmış patatesleri derin bir tencere içine koyun. Üzerlerini geçecek kadar su ve biraz tuz ekleyip, hafifçe yumuşayana kadar haşlayın. Suyunu süzün. Beşamel sos için; orta boy bir tencere içine 1 yemek kaşığı dolusu tereyağı koyup, eritin. Eriyen yağın üzerine 2 yemek kaşığı un ekleyin. Unun hafifçe kokusu çıkana kadar kavurun. Kavrulan unun üzerine 2 su bardağı sütü azar azar döküp, topaklanma olmaması için hızlı bir şekilde karıştırın. Sosu muhallebi kıvamına gelene kadar pişirin. Pişen beşamel sosun üzerine damak tadınıza göre tuz ve karabiber ekleyip, karıştırın. Haşlanmış patatesleri orta boy bir fırın kabı içine koyup, yayın. Üzerine hazırladığınız beşamel sosu gezdirerek, dökün. Son olarak besamel soslu patatesin üzerine rendelenmiş kaşar peynir serpiştirin. İsteğe göre az miktarda kırmızı toz biber serpiştirin. Önceden ısıtılmış 190 derece fırına verin. Üzeri kızarana kadar 10-15 dakika pişirin."
Fırında Etli Karnabahar Yemeği,ana yemek,kuşbaşı dana ya da kuzu et karnabahar patates havuç yeşil biber domates domates püresi soğan tuz karabiber kimyon rendelenmiş kaşar peynir zeytinyağı,"Karnabaharı dallarına ayırıp, bir tencere içinde haşlayın. Patates ve havucun kabuğunu soyun, orta büyüklükte doğrayıp, bir tencere içine koyun. Haşlanan sebzelerin suyunu süzüp, ılımaya bırakın. Geniş bir tava içine soğan koyun, üzerine zeytinyağı ekleyip, 1 dakika kadar kavurun. Ardından yeşil biberi de koyun, 2 adet orta boy minik küpler halinde doğranmış domatesi ekleyin. 3 dakika kadar ara ara karıştırarak, pişirin. Yarım su bardağı domates püresini de ekleyin. Domatesli biber harcını güzelce karıştırın. Son olarak pişen kuşbaşı etlerini, damak tadınıza göre tuz, karabiber ve kimyon koyun. Domatesli etli karışımı 2 dakika kadar daha pişirin. Haşlanmış karnabaharları, patates ve havuçları yağlanmış orta boy bir fırın kabı içine koyun. Üzerine hazırladığınız soslu et karışımını döküp, yayın. Son olarak etli karnabahar yemeğin üzerine bolca rendelenmiş kaşar peynir serpiştirin. Önceden ısıtılmış 180 derecede fırına verin, yaklaşık 10-15 dakika kadar pişirin."
Fırında Hamsi,ana yemek,hamsi mısır unu tuz zeytinyağı,"1 kilo hamsiyi ayıklayıp, güzelce yıkayın. Süzgeç içinde bekleterek suyunun iyice süzülmesini sağlayın. Orta boy geniş bir kaba yarım su bardağı mısır unu koyun. Üzerine 1 tatlı kaşığı tuz ekleyip, karıştırın. Hamsilerin her tarafını mısır ununa güzelce bulayın. Tüm hamsiler bitene kadar bu işlemi tekrarlayın. Büyük fırın tepsisi içine yağlı kağıt serin. Mısır ununa buladığınız hamsileri fırın tepsisine aralarında hiç boşluk kalmayacak şekilde dizin. Üzerlerine fırça yardımı ile zeytinyağı sürün. Hazırladığınız mısır unlu hamsiyi önceden ısıtılmış 180 derece fırına verin. Üzerleri güzelce kızarana kadar yaklaşık 30 dakika kontrollü bir şekilde pişirin."
Fırında Kabak Dizme,ana yemek,kabak domates yeşil sivri biber kırmızı kapya biber soğan sarımsak zeytinyağı tuz karabiber rendelenmiş kaşar peynir,"Kabakları yarım cm kalınlığında halkalar halinde dilimleyin. Kabakların üzerine tuz ve karabiber ekleyip, eliniz ile güzelce harmanlayın. Domatesleri, soğanları, biberleri ve sarımsakları doğrayın. Sebzeleri sırayla dizin. Sebzelerin üzerine zeytinyağı gezdirin. Fırın kabının üzerini yağlı kağıt ile örtün. Önceden ısıtılmış 190 derece fırına verin. 35 dakika pişirin. Yağlı kağıdı alıp, üstü açık bir şekilde sebzelerin üzeri kızarana kadar 15-20 dakika daha pişirin. Üzerlerine rendelenmiş kaşar peynir serpiştirin. Tekrardan fırına verip, peynirlerin üzeri hafifçe kızarana kadar 5-10 dakika kadar pişirin."
Fırında Karnabahar Köftesi,ana yemek,orta boy karnabahar yumurta maydanoz dereotu galeta unu tuz karabiber kırmızı pul biber kekik,"Dallarına ayırın. Derin bir tencere içine koyup, üzerine çıkacak kadar su dökün. Üzerine az miktar tuz ekleyip, yumuşayana kadar haşlayın. Ardından haşlanan karnabarların suyunu süzüp, ılımaya bırakın. Orta boy bir kap içine karnabaharları alın. Püre ezicisi ile karnabaharları iyice ezin. Daha sonra kaba 2 adet yumurta kırın. 2 tutam ince ince doğranmış dereotu, 2 tutam ince ince doğranmış maydanoz, az miktar tuz, karabiber, kırmızı pul biber ve kekik koyun. Son olarak 1 su bardağı kadar galeta unu azar azar ekleyip, yoğurun. Galeta ununu köfte şekil alacak kıvama gelinceye kadar koyup, yoğurun. Hazırladığınız karnabahar köftesi karışımından ceviz büyüklüğünde parçalar alın. Elinizde yuvarlayıp, yağlı kağıt serili fırın tepsisi içine koyun. Önceden ısıtılmış 180 derece fırına verin. Üzerleri kızarana kadar yaklaşık 15 dakika pişirin."
Fırında Kaşarlı Ekmek Dilimleri,kahvaltı,ekmek dilimi yumurta rendelenmiş kaşar peynir kekik fesleğen kimyon tuz,"Orta boy bir kaba 1 su bardağı rendelenmiş kaşar peyniri koyun. Peynirin üzerine 2 adet orta boy yumurta kırın. Damak tadınıza göre kekik, fesleğen, kimyon ve tuz ekleyin. Tüm malzemelerin güzelce karışmasını sağlayın. 8 adet orta boy ekmek dilimini yağlı kağıt serili fırın tepsisi içine dizin. Ekmek dilimlerinin üzerine hazırladığınız peynirli karışımdan koyup, güzelce yayın. Önceden ısıtılmış 200 derece fırına verip, üzerleri hafifçe kızarana kadar pişirin. Yumurtalı kaşarlı ekmek dilimleri piştikten sonra fırından çıkartıp, sıcak olarak servis edebilirsiniz."
Fırında Kıymalı Pırasa,ana yemek,pırasa kavrulmuş kıyma soğan sarımsak tere yağı zeytinyağı yumurta karabiber kırmızı pul biber kimyon tuz rendelenmiş kaşar peynir,"5 adet orta boy pırasayı ayıklayıp, iyice yıkayın. Halkalar şeklinde ince ince doğrayın. 1 adet orta boy soğanı ince ince doğrayın. Geniş bir tencere içine 1 yemek kaşığı tereyağı ve 2 yemek kaşığı zeytinyağı koyun. Yağı ısıtıp, üzerine doğranmış soğanı ekleyin. Soğanı 2-3 dakika kadar kavurun. Kavrulan soğanın üzerine 1 küçük kase kavrulmuş kıyma ve 2 diş ince ince doğranmış sarımsak koyup, 3-4 kere karıştırın. Son olarak kıymalı harcın üzerine ince ince doğradığınız pırasaları ekleyin. Damak tadınıza göre tuz, karabiber, kimyon ve kırmızı pul biber koyup, harcı iyice karıştırın. Tencerenin kapağını kapatın. Orta ateş üzerinde pırasalar yumuşayana kadar ara ara karıştırarak, pişirin. Kıymalı pırasalı harcı pişirme esnasında suyunun iyice çekilmesini sağlayın. Kıymalı pırasalı harç piştikten sonra ocaktan alıp, soğumaya bırakın. Soğuyan harcın üzerine 2 adet yumurta kırın. Harcı yumurta ile birlikte iyice karıştırın. Daha sonra pırasalı harcı yağladığınız orta boy bir fırın kabı içine koyup, yayın. Son olarak üzerine bolca rendelenmiş kaşar peynir serpiştirin. Ardından önceden ısıtılmış 190 derece fırına verip, üzeri iyice kızarana kadar pişirin."
Fırında Kolyoz,ana yemek,kolyoz balığı soğan domates yeşil biber zeytinyağı limon maydanoz tuz,Balıkları ayıklayın ve yıkayın. Süzgeç içinde bekletin. Fırın tepsisine yağlı kağıt serin. Soğanları doğrayıp tepsiye serpiştirin. Domatesi doğrayıp tepsiye serpiştirin. Yeşil biberleri doğrayıp tepsiye serpiştirin. Balıkları sebzelerin üzerine dizin. Limonu dilimleyip balıkların arasına dizin. Tuz serpiştirin. Zeytinyağı gezdirin. Maydanoz serpiştirin. Fırında 20-25 dakika pişirin.
Fırında Mercimek Köftesi,ana yemek,yeşil mercimek yumurta soğan sarimsak maydanoz zeytinyağı kırmızı pul biber kuru nane kimyon tuz galeta unu,"Yeşil mercimeği tencereye koyun ve 2-3 parmak geçecek kadar su dökün. İyice yumuşayana kadar haşlayın. Yumuşayan mercimeklerin suyunu iyice süzün ve soğumaya bırakın. Küçük bir tava içine 1 adet orta boy ince ince doğranmış soğan koyun. Üzerine 5 yemek kaşığı zeytinyağı dökün. Soğanları yağda ara ara karıştırarak, hafifçe yumuşayana kadar kavurun. Ardından ocak üzerinden alıp, ılımaya bırakın. Derin bir kaba haşlanmış yeşil mercimeği koyun. Üzerine yağda kavurduğunuz soğanı yağı ile birlikte dökün. 2 diş rendelenmiş sarımsak ekleyin. Ardından kaba yarım demet ince ince doğranmış maydanoz, 1 tatlı kaşığı kuru nane, 1 tatlı kaşığı kırmızı pul biber, 1 çay kaşığı kimyon, 1 tatlı kaşığı tuz, 1 adet yumurta ve yarım su bardağı galeta unu koyun. Tüm köfte harcını eliniz ile iyice yoğurun. Köfte harcı ele biraz yapışan bir kıvamda olacaktır. Fırında pişeceğinden dolayı ekstra galeta unu koymayın. Sadece harcın köfte şeklini alması yeterli olacaktır. Daha sonra elinizi güzelce temizleyip, yeşil mercimek köftesi harcından ceviz büyüklüğüne yakın parçalar alın. Elinizde yuvarlayıp, üzerine hafifçe bastırın. Yağlı kağıt serili fırın tepsisi içine dizin. Köftelere şekil verirken ara ara mutlaka elinizi temizleyin ki köfteler elinize yapışmasın. Son olarak köftelerin üzerine fırça yardımı ile biraz zeytinyağı sürün. Önceden ısıtılmış 180 derece fırına verin. Yaklaşık 20 dakika pişirin."
Fırında Mor Lahana,ana yemek,mor lahana zeytinyağı kimyon kırmızı pul biber kuru nane karabiber sarımsak tozu tuz yoğurt sarımsak,"Mor lahanayı 1 parmak kalınlığında halkalar halinde dilimleyin. Lahanaları yağlı kağıt serili fırın tepsisine dizin. Sos için zeytinyağı, kuru nane, kırmızı pul biber, sarımsak tozu, kimyon, karabiber ve tuz karıştırın. Sosunu hazırladığınız baharatlı sosu fırça yardımı ile mor lahana dilimlerinin üzerine sürün. Önceden ısıtılmış 190 derece fırına verin. Mor lahana dilimleri piştikten sonra üzerine sarımsaklı yoğurt sosunu dökün."
Fırında Patlıcan Graten,ana yemek,patlıcan domates soğan zeytinyağı kesme şeker tuz karabiber rendelenmiş kaşar peynir,"4 adet orta boy patlıcanı alacalı soyup, küp küp doğrayın. Doğradığınız patlıcanları acı suyunun çıkması için tuzlu su içinde 30 dakika kadar bekletin. Orta boy geniş bir tencere içine yarım çay bardağından biraz fazla zeytinyağı döküp, ısıtın. Yağın üzerine 1 adet büyük boy ince ince doğranmış soğan koyun. Soğanı 2 dakika kadar kavurun. Kavrulan soğanın üzerine 5 adet orta boy ince ince doğranmış domates, 2 adet kesme şeker, damak tadınıza göre tuz ve karabiber ekleyip, güzelce karıştırın. Domatesleri çok hafif yumuşayana kadar ara ara karıştırarak, pişirin. Daha sonra pişen domatesin üzerine patlıcanları ekleyin. Malzemeleri güzelce karıştırıp, tencerenin kapağını kapatın. Hiç su koymadan domatesin kendi suyu ile patlıcanları yumuşayana kadar kısık ateş üzerinde kontrollü bir şekilde pişirin. Patlıcanlar piştikten sonra orta boy bir fırın kabı içine koyun. Üzerlerine bolca rendelenmiş kaşar peynir serpiştirin. Önceden ısıtılmış 200 derece fırına verin. Üzerleri güzelce kızarana kadar pişirin."
Fırında Pırasa Mücveri,ana yemek,pırasa havuç soğan yoğurt mısır unu maydanoz dereotu yumurta beyaz peynir zeytinyağı kabartma tozu kırmızı toz biber kırmızı pul biber karabiber tuz çörek otu,"Pırasaları temizleyip, yıkayın. Pırasaları ince ince doğrayıp, geniş bir tencere içine koyun. Pırasaların üzerine 3 yemek kaşığı zeytinyağı dökün. Hafifçe yumuşayana kadar sürekli karıştırarak, pişirin. Piysen pırasaların üzerine 2 adet orta boy rendelenmiş havucu ekleyin. Havucu da pırasayla birlikte 2 dakika kadar kavurun. Ardından ocak üzerinden alıp, ılımaya bırakın. Diğer tarafta ılıyan pırasalı harcı orta boy geniş bir kap içine koyun. Üzerine 2 adet yumurta kırın. 1 çay bardağı mısır unu, 1 çay bardağı yoğurt ve 2 yemek kaşığı zeytinyağı koyun. Ardından kaba 2 tutam ince ince doğranmış maydanoz, 2 tutam ince ince doğranmış dereotu, 1 adet orta boy ince ince doğranmış soğan ve 80 gr kadar da küçük küçük parçalanmış beyaz peynir ekleyin. Daha sonra 1 çay kaşığı kırmızı toz biber, 1 çay kaşığı kırmızı pul biber, yarım çay kaşığı karabiber, 1 paket kabartma tozu ve damak tadınıza göre tuz koyun. Tüm pırasalı mücver harcının güzelce karışmasını sağlayın. Hazırladığınız pırasalı mücver harcını yağlı kağıt serili büyük kare borcam içine dökün. Spatula yardımı ile harcı eşit bir şekilde yayın. Üzerine çörek otu ya da susam serpiştirin. Önceden ısıtılmış 180 derece fırına verin. Üzeri kızarana kadar yaklaşık 25-30 dakika pişirin. Pırasalı fırın mücver piştikten sonra 10 dakika kadar dinlenmeye bırakın. Daha sonra dilimleyerek, servis edebilirsiniz."
Fırın Hamsi,ana yemek,irice hamsi kekik zeytinyağı limon suyu tuz,"Balıkçınızdan yarım kilo iri hamsi alın. Hamsileri temizleyip, kılçıklarını çıkartın. Balıklarınızı güzelce yıkayın. Süzgeç içinde bekleterek suyunun süzülmesini sağlayın. Büyük fırın tepsisi içine yağlı kağıt serin. Hamsilerin dış yüzeyleri yukarı bakacak şekilde yan yana dizin. Sosu hazırlayın. Hazırladığınız sosu fırça yardımı ile balıkların üzerine bolca sürün. Önceden ısıtılmış 180 derece fırına verin. Üzerleri güzelce kızarana kadar yaklaşık 25-30 dakika kontrollü bir şekilde pişirin."
Hamursuz Pizza Dilimleri,ana yemek,patates sucuk konserve mısır yeşil biber domates rendelenmiş kaşar peynir zeytinyağı tuz ketçap domates salçası kekik,"Patatesleri kabuğu ile birlikte iyice yıkayıp, kurulayın. Patatesleri kabuğu ile birlikte uzunlamasına çok ince olmayacak şekilde dilimleyin. Dilimlediğiniz patatesleri yağlı kağıt serili fırın tepsisi içine dizin. Patateslerin üzerlerine bıçak yardımı ile çok derin olmayacak şekilde çizikler atın. Patateslerin üzerine fırça yardımı ile hafifçe zeytinyağı sürüp, tuz serpiştirin. Patatesleri önceden ısıtılmış 200 derece fırına verip, yaklaşık 15 dakika pişirin. Sos için; küçük bir kap içine 1 yemek kaşığı ketçap, 1 tatlı kaşığı domates salçası, damak tadınıza göre kekik ve 2 yemek kaşığı zeytinyağı koyun. Sos malzemelerinin hepsini iyice karıştırın. Patates dilimleri piştikten sonra fırından çıkartıp, üzerlerine fırça yardımı ile sosdan sürün. Ardından da sosun üzerine rendelenmiş kaşar peynir serpiştirin. Son olarak patateslerin üzerine doğranmış biber, sucuk ve domatesleri yerleştirin. 3 yemek kaşığı konserve mısırı da patateslerin üzerine paylaştırıp, tekrardan rendelenmiş kaşar peynir serpiştirin. Hamursuz pizza dilimlerini tekrardan fırına verip, 10-15 dakika kadar pişirin."
Ispanaklı Mantarlı Yumurta,ana yemek,ıspanak kültür mantarı kuru soğan yumurta tuz karabiber rendelenmiş kaşar peynir,"Geniş ve derin bir tencere içine ince ince doğradığınız soğanı koyun. Üzerine 2 yemek kaşığı zeytinyağı ekleyip, 2 dakika kadar kavurun. Ardından tencereye doğradığınız mantarları koyun. Mantarları 3-4 dakika kavurarak, pişirin. Kavrulan mantarların üzerine yıkayıp, suyunu süzdüğünüz ıspanakları ekleyip, 1-2 kere karıştırın. Tencerenin kapağını kapatıp, ıspanaklar sönene kadar pişirin. Ispanakları çok pişirmeyin. Ispanak çok su bırakırsa biraz suyunu süzün. Son olarak damak tadınıza göre tuz ve karabiber koyup, karıştırın. Diğer tarafta bir kap içine 3 adet yumurta kırın. Biraz tuz ekleyip, yumurtaları iyice çırpın. Ispanaklı mantar karışımını orta boy bir fırın kabı içine koyun. Üzerine çırptığınız yumurtayı gezdirerek, dökün. Yumurtayı döktükten sonra kaşık yardımı ile hafifçe karıştırın. Önceden ısıtılmış 180 derece fırına verip, pişirin. Ispanaklı mantarlı yumurta piştikten sonra fırından çıkartın. Üzerine bolca rendelenmiş kaşar peynir serpiştirin. Tekrar fırına verip, üzeri hafifçe kızarana kadar pişirin. Ispanaklı mantarlı yumurta piştikten sonra fırından alıp, 5 dakika kadar ılımaya bırakın. Daha sonra dilimleyerek, servis edebilirsiniz."
